kind,width,height,depth,num_filled,time
lazy,35,35,2,169,0.0005409717559814453
lazy,35,35,2,120,0.00026607513427734375
lazy,35,35,2,96,0.00021982192993164062
lazy,35,35,2,51,0.00011968612670898438
lazy,35,35,2,223,0.0008862018585205078
lazy,35,35,2,110,0.0003261566162109375
lazy,35,35,2,182,0.00044798851013183594
lazy,35,35,2,93,0.00019407272338867188
lazy,35,35,2,85,0.0002269744873046875
lazy,35,35,2,191,0.0006871223449707031
lazy,35,35,2,169,0.0005939006805419922
lazy,35,35,2,176,0.0005769729614257812
lazy,35,35,2,213,0.000637054443359375
lazy,35,35,2,158,0.00045609474182128906
lazy,35,35,2,88,0.00019097328186035156
lazy,35,35,2,127,0.0003230571746826172
lazy,35,35,2,128,0.0002639293670654297
lazy,35,35,2,249,0.0007932186126708984
lazy,35,35,2,161,0.0003719329833984375
lazy,35,35,2,83,0.00018215179443359375
lazy,35,35,2,90,0.00019288063049316406
lazy,35,35,2,107,0.0003199577331542969
lazy,35,35,2,86,0.0004990100860595703
lazy,35,35,2,176,0.001107931137084961
lazy,35,35,2,136,0.0015261173248291016
lazy,35,35,2,140,0.0008819103240966797
lazy,35,35,2,202,0.001622915267944336
lazy,35,35,2,91,0.0007140636444091797
lazy,35,35,2,74,0.00048422813415527344
lazy,35,35,2,109,0.0008549690246582031
lazy,35,35,2,209,0.0020101070404052734
lazy,35,35,2,158,0.0015530586242675781
lazy,35,35,2,142,0.0010221004486083984
lazy,35,35,2,96,0.0005939006805419922
lazy,35,35,2,100,0.000576019287109375
lazy,35,35,2,120,0.0012574195861816406
lazy,35,35,2,73,0.0004279613494873047
lazy,35,35,2,82,0.0004870891571044922
lazy,35,35,2,81,0.00044798851013183594
lazy,35,35,2,62,0.0003807544708251953
lazy,35,35,2,121,0.0006909370422363281
lazy,35,35,2,112,0.0006570816040039062
lazy,35,35,2,129,0.0008697509765625
lazy,35,35,2,177,0.0009930133819580078
lazy,35,35,2,149,0.0010001659393310547
lazy,35,35,2,174,0.0012428760528564453
lazy,35,35,2,131,0.0007569789886474609
lazy,35,35,2,166,0.0011281967163085938
lazy,35,35,2,177,0.0016896724700927734
lazy,35,35,2,144,0.00127410888671875
lazy,35,35,10,134,0.0002880096435546875
lazy,35,35,10,110,0.00023603439331054688
lazy,35,35,10,129,0.00026917457580566406
lazy,35,35,10,129,0.00026607513427734375
lazy,35,35,10,239,0.0008959770202636719
lazy,35,35,10,91,0.0005118846893310547
lazy,35,35,10,89,0.0004949569702148438
lazy,35,35,10,123,0.0006830692291259766
lazy,35,35,10,111,0.0006041526794433594
lazy,35,35,10,81,0.0004572868347167969
lazy,35,35,10,87,0.00047326087951660156
lazy,35,35,10,184,0.0010159015655517578
lazy,35,35,10,121,0.0006673336029052734
lazy,35,35,10,156,0.0009801387786865234
lazy,35,35,10,146,0.0008802413940429688
lazy,35,35,10,130,0.0007200241088867188
lazy,35,35,10,161,0.0009050369262695312
lazy,35,35,10,108,0.0005970001220703125
lazy,35,35,10,117,0.0008261203765869141
lazy,35,35,10,89,0.0004978179931640625
lazy,35,35,10,59,0.000324249267578125
lazy,35,35,10,104,0.0006000995635986328
lazy,35,35,10,118,0.0007879734039306641
lazy,35,35,10,99,0.0005478858947753906
lazy,35,35,10,94,0.0005190372467041016
lazy,35,35,10,224,0.0012919902801513672
lazy,35,35,10,89,0.0004837512969970703
lazy,35,35,10,186,0.0011241436004638672
lazy,35,35,10,115,0.0006220340728759766
lazy,35,35,10,65,0.00014400482177734375
lazy,35,35,10,104,0.00022411346435546875
lazy,35,35,10,140,0.0002970695495605469
lazy,35,35,10,115,0.0002391338348388672
lazy,35,35,10,70,0.0001430511474609375
lazy,35,35,10,61,0.0001270771026611328
lazy,35,35,10,58,0.00011992454528808594
lazy,35,35,10,82,0.00016832351684570312
lazy,35,35,10,92,0.00018596649169921875
lazy,35,35,10,176,0.0003681182861328125
lazy,35,35,10,74,0.00015807151794433594
lazy,35,35,10,235,0.0005059242248535156
lazy,35,35,10,69,0.00014400482177734375
lazy,35,35,10,107,0.0002200603485107422
lazy,35,35,10,131,0.0007448196411132812
lazy,35,35,10,98,0.00021028518676757812
lazy,35,35,10,127,0.0002701282501220703
lazy,35,35,10,201,0.00043392181396484375
lazy,35,35,10,125,0.00026988983154296875
lazy,35,35,10,99,0.00020384788513183594
lazy,35,35,10,77,0.00015783309936523438
lazy,35,35,100,147,0.00033211708068847656
lazy,35,35,100,91,0.0002009868621826172
lazy,35,35,100,116,0.0002551078796386719
lazy,35,35,100,96,0.00020813941955566406
lazy,35,35,100,119,0.00026297569274902344
lazy,35,35,100,158,0.0003509521484375
lazy,35,35,100,146,0.0003299713134765625
lazy,35,35,100,90,0.0002009868621826172
lazy,35,35,100,134,0.00030493736267089844
lazy,35,35,100,112,0.0002560615539550781
lazy,35,35,100,148,0.0003330707550048828
lazy,35,35,100,81,0.00017690658569335938
lazy,35,35,100,183,0.00040912628173828125
lazy,35,35,100,97,0.0002110004425048828
lazy,35,35,100,99,0.00021719932556152344
lazy,35,35,100,176,0.00039768218994140625
lazy,35,35,100,164,0.0003650188446044922
lazy,35,35,100,153,0.00033926963806152344
lazy,35,35,100,110,0.00024318695068359375
lazy,35,35,100,67,0.00014400482177734375
lazy,35,35,100,102,0.000225067138671875
lazy,35,35,100,142,0.00030994415283203125
lazy,35,35,100,93,0.0002040863037109375
lazy,35,35,100,60,0.00013113021850585938
lazy,35,35,100,115,0.0002560615539550781
lazy,35,35,100,118,0.0002651214599609375
lazy,35,35,100,94,0.00046896934509277344
lazy,35,35,100,71,0.00015687942504882812
lazy,35,35,100,89,0.00019478797912597656
lazy,35,35,100,130,0.0007927417755126953
lazy,35,35,100,91,0.000675201416015625
lazy,35,35,100,202,0.0012750625610351562
lazy,35,35,100,113,0.00067901611328125
lazy,35,35,100,223,0.0005211830139160156
lazy,35,35,100,140,0.00030994415283203125
lazy,35,35,100,102,0.0002238750457763672
lazy,35,35,100,169,0.0003750324249267578
lazy,35,35,100,227,0.0005168914794921875
lazy,35,35,100,111,0.0002491474151611328
lazy,35,35,100,93,0.00020694732666015625
lazy,35,35,100,81,0.0001800060272216797
lazy,35,35,100,101,0.0006730556488037109
lazy,35,35,100,87,0.00019288063049316406
lazy,35,35,100,117,0.00026226043701171875
lazy,35,35,100,241,0.0021371841430664062
lazy,35,35,100,152,0.0009329319000244141
lazy,35,35,100,130,0.0007970333099365234
lazy,35,35,100,47,0.0002758502960205078
lazy,35,35,100,177,0.0010960102081298828
lazy,35,35,100,114,0.0007479190826416016
lazy,55,55,2,210,0.0012998580932617188
lazy,55,55,2,186,0.0010828971862792969
lazy,55,55,2,165,0.001196146011352539
lazy,55,55,2,564,0.005653858184814453
lazy,55,55,2,172,0.0004050731658935547
lazy,55,55,2,375,0.0011131763458251953
lazy,55,55,2,554,0.002537965774536133
lazy,55,55,2,286,0.0008740425109863281
lazy,55,55,2,468,0.0018582344055175781
lazy,55,55,2,370,0.0018260478973388672
lazy,55,55,2,492,0.0026369094848632812
lazy,55,55,2,235,0.002651214599609375
lazy,55,55,2,583,0.0026328563690185547
lazy,55,55,2,338,0.0017230510711669922
lazy,55,55,2,118,0.0003120899200439453
lazy,55,55,2,253,0.0008120536804199219
lazy,55,55,2,478,0.0025959014892578125
lazy,55,55,2,401,0.0015959739685058594
lazy,55,55,2,342,0.001361846923828125
lazy,55,55,2,144,0.0003528594970703125
lazy,55,55,2,273,0.0010530948638916016
lazy,55,55,2,239,0.0006480216979980469
lazy,55,55,2,318,0.0012798309326171875
lazy,55,55,2,494,0.0016016960144042969
lazy,55,55,2,204,0.0005369186401367188
lazy,55,55,2,403,0.0026628971099853516
lazy,55,55,2,222,0.0005970001220703125
lazy,55,55,2,271,0.0010650157928466797
lazy,55,55,2,124,0.0003199577331542969
lazy,55,55,2,162,0.0004019737243652344
lazy,55,55,2,332,0.0014832019805908203
lazy,55,55,2,418,0.0018627643585205078
lazy,55,55,2,187,0.0004379749298095703
lazy,55,55,2,327,0.0015401840209960938
lazy,55,55,2,168,0.0003840923309326172
lazy,55,55,2,406,0.0017726421356201172
lazy,55,55,2,143,0.00035500526428222656
lazy,55,55,2,679,0.0059909820556640625
lazy,55,55,2,213,0.0007739067077636719
lazy,55,55,2,511,0.0017540454864501953
lazy,55,55,2,649,0.004882097244262695
lazy,55,55,2,292,0.0007898807525634766
lazy,55,55,2,516,0.0019779205322265625
lazy,55,55,2,278,0.0005788803100585938
lazy,55,55,2,315,0.0012128353118896484
lazy,55,55,2,347,0.0014119148254394531
lazy,55,55,2,109,0.0002231597900390625
lazy,55,55,2,527,0.0041599273681640625
lazy,55,55,2,130,0.0002689361572265625
lazy,55,55,2,270,0.0007488727569580078
lazy,55,55,10,306,0.0006191730499267578
lazy,55,55,10,265,0.0005161762237548828
lazy,55,55,10,176,0.00033402442932128906
lazy,55,55,10,297,0.0006079673767089844
lazy,55,55,10,515,0.0010678768157958984
lazy,55,55,10,372,0.0007319450378417969
lazy,55,55,10,143,0.00026702880859375
lazy,55,55,10,254,0.0005309581756591797
lazy,55,55,10,306,0.0006339550018310547
lazy,55,55,10,251,0.0005230903625488281
lazy,55,55,10,147,0.0002810955047607422
lazy,55,55,10,250,0.0005080699920654297
lazy,55,55,10,292,0.0005750656127929688
lazy,55,55,10,515,0.0011768341064453125
lazy,55,55,10,164,0.0003139972686767578
lazy,55,55,10,506,0.0010311603546142578
lazy,55,55,10,198,0.0003800392150878906
lazy,55,55,10,252,0.0004978179931640625
lazy,55,55,10,216,0.00043129920959472656
lazy,55,55,10,369,0.0007479190826416016
lazy,55,55,10,127,0.00024509429931640625
lazy,55,55,10,347,0.0006868839263916016
lazy,55,55,10,442,0.0009567737579345703
lazy,55,55,10,274,0.0005712509155273438
lazy,55,55,10,241,0.00047898292541503906
lazy,55,55,10,277,0.0005309581756591797
lazy,55,55,10,326,0.0006661415100097656
lazy,55,55,10,161,0.00032591819763183594
lazy,55,55,10,315,0.0006320476531982422
lazy,55,55,10,123,0.00022983551025390625
lazy,55,55,10,312,0.0006389617919921875
lazy,55,55,10,194,0.00037217140197753906
lazy,55,55,10,249,0.0004870891571044922
lazy,55,55,10,440,0.00096893310546875
lazy,55,55,10,231,0.00043320655822753906
lazy,55,55,10,409,0.0008339881896972656
lazy,55,55,10,291,0.0005812644958496094
lazy,55,55,10,139,0.0002613067626953125
lazy,55,55,10,183,0.00036597251892089844
lazy,55,55,10,286,0.0005719661712646484
lazy,55,55,10,228,0.000453948974609375
lazy,55,55,10,332,0.0006561279296875
lazy,55,55,10,627,0.0015091896057128906
lazy,55,55,10,340,0.0006692409515380859
lazy,55,55,10,293,0.0005679130554199219
lazy,55,55,10,488,0.0009601116180419922
lazy,55,55,10,152,0.00028204917907714844
lazy,55,55,10,534,0.0011229515075683594
lazy,55,55,10,261,0.00049591064453125
lazy,55,55,10,370,0.0007638931274414062
lazy,55,55,100,396,0.0008649826049804688
lazy,55,55,100,206,0.0004401206970214844
lazy,55,55,100,457,0.0009789466857910156
lazy,55,55,100,199,0.0004220008850097656
lazy,55,55,100,244,0.0005130767822265625
lazy,55,55,100,357,0.0007538795471191406
lazy,55,55,100,431,0.0009140968322753906
lazy,55,55,100,258,0.0005559921264648438
lazy,55,55,100,359,0.0007770061492919922
lazy,55,55,100,316,0.0006811618804931641
lazy,55,55,100,278,0.0005960464477539062
lazy,55,55,100,124,0.0002551078796386719
lazy,55,55,100,165,0.00034499168395996094
lazy,55,55,100,312,0.0006651878356933594
lazy,55,55,100,253,0.0005269050598144531
lazy,55,55,100,217,0.0004558563232421875
