id,size,depth,seed
0,501,10,5052960430206738302
1,501,10,6634751012559327630
2,501,10,2595435812294274136
3,501,10,4283341997682154089
4,501,10,4300322128080714693
5,501,10,5310459456190099361
6,501,10,1970257689825651717
7,501,10,8449789996459249807
8,501,10,8215245221809845796
9,501,10,4370050255732804117
10,501,10,1579600820072004109
11,501,10,6661954623788888385
12,501,10,6764247116333484282
13,501,10,7390205841639277880
14,501,10,4424911501966370795
15,501,10,3451025599864449970
16,501,10,6953040621667458179
17,501,10,2343288952651483329
18,501,10,8188078096966424694
19,501,10,4641750174179065
20,501,10,7490692790956370816
21,501,10,7253837867486700143
22,501,10,3430013483255078229
23,501,10,2149065840697397110
24,501,10,6315562953342057191
25,501,10,1221476193103071746
26,501,10,406990651940425455
27,501,10,6528922129476020780
28,501,10,7546697785691039842
29,501,10,3607738448576235008
30,501,10,6980100943547077422
31,501,10,4267272935548853229
32,501,10,18637215537598444
33,501,10,7862029875704793643
34,501,10,8011023262653456055
35,501,10,6271879322045524595
36,501,10,7865553495103470778
37,501,10,689377962842855742
38,501,10,6197287328307852825
39,501,10,6158699694465883493
40,501,10,6284122345279011593
41,501,10,8840107792061562564
42,501,10,5232126047755461599
43,501,10,2616242611972046137
44,501,10,4449984940604550306
45,501,10,6295985341006403435
46,501,10,6751746269397241038
47,501,10,8840093278079445753
48,501,10,374286341185943428
49,501,10,1947803630919595376
50,501,10,93760525687220134
51,501,10,1173943907957657504
52,501,10,6180894225960354952
53,501,10,6239517068854353313
54,501,10,3820893695566704607
55,501,10,5036067530485654289
56,501,10,3001491165384815142
57,501,10,8635535131240112199
58,501,10,1259084018374949042
59,501,10,1163526913383774909
60,501,10,3322984181981927099
61,501,10,6785793887218650929
62,501,10,8793189328670341933
63,501,10,5739711672153653224
64,501,10,614631371308779182
65,501,10,8420687833637048713
66,501,10,878999232762134148
67,501,10,6515531934067289940
68,501,10,3839527032435082894
69,501,10,2848723729831381670
70,501,10,1844143750451453814
71,501,10,467090579658200944
72,501,10,2306071330522948913
73,501,10,3240207428111322979
74,501,10,5046471992692489502
75,501,10,9027351956375464418
76,501,10,4073454452885285090
77,501,10,8083110073758436587
78,501,10,6057021707678623065
79,501,10,4118956100327698134
80,501,10,8046954958515651259
81,501,10,6703968194935976429
82,501,10,2271133752106801319
83,501,10,6660053970783290533
84,501,10,2156764070371102924
85,501,10,100075206839231827
86,501,10,6969134430552992748
87,501,10,1963285776627994710
88,501,10,5898317960467328679
89,501,10,8401462847052390673
90,501,10,2910699524105120803
91,501,10,464049294218243920
92,501,10,7950470143055541210
93,501,10,7902123613333941945
94,501,10,7337452745876584550
95,501,10,7239685483930208547
96,501,10,3624090730977943336
97,501,10,6128097792964402920
98,501,10,1956917628901815867
99,501,10,8423938932532424712
