site,date,lon,lat,reading
COT,2023-04-27,-124.04574,48.82142,47.5
COT,2023-04-27,-124.045,48.82245,17.9
COT,2023-04-27,-124.04452,48.82166,50.0
COT,2023-04-27,-124.04465,48.82166,59.4
COT,2023-04-27,-124.04476,48.82257,0.7
COT,2023-04-27,-124.04539,48.82174,85.1
COT,2023-04-27,-124.04489,48.82173,78.2
COT,2023-04-27,-124.04518,48.82173,98.6
COT,2023-04-27,-124.04562,48.82169,68.4
COT,2023-04-27,-124.04477,48.82208,49.2
COT,2023-04-27,-124.04467,48.82215,38.7
COT,2023-04-27,-124.04515,48.82124,47.0
COT,2023-04-27,-124.04599,48.82211,27.0
COT,2023-04-27,-124.04554,48.82115,31.5
COT,2023-04-27,-124.04592,48.82233,13.4
COT,2023-04-27,-124.04437,48.82173,39.6
COT,2023-04-27,-124.04501,48.82224,40.7
COT,2023-04-27,-124.0452,48.82153,78.6
COT,2023-04-27,-124.04445,48.82202,36.3
COT,2023-04-27,-124.04554,48.82103,18.8
COT,2023-04-27,-124.04522,48.82174,96.6
COT,2023-04-27,-124.04551,48.82198,63.2
COT,2023-04-27,-124.04525,48.82235,29.2
