site,date,lon,lat,reading
HMB,2023-05-02,-124.17453,48.81655,31.3
HMB,2023-05-02,-124.17464,48.81678,42.1
HMB,2023-05-02,-124.17505,48.81645,59.7
HMB,2023-05-02,-124.17461,48.81734,13.2
HMB,2023-05-02,-124.17568,48.8168,95.2
HMB,2023-05-02,-124.17455,48.81691,33.2
HMB,2023-05-02,-124.175,48.81752,13.1
HMB,2023-05-02,-124.17581,48.81714,59.3
HMB,2023-05-02,-124.17573,48.8172,54.7
HMB,2023-05-02,-124.17503,48.81681,68.7
HMB,2023-05-02,-124.17625,48.81628,37.3
HMB,2023-05-02,-124.17564,48.81635,65.4
HMB,2023-05-02,-124.1761,48.81607,26.0
HMB,2023-05-02,-124.17556,48.81663,95.9
HMB,2023-05-02,-124.17624,48.81659,55.1
HMB,2023-05-02,-124.17483,48.8166,53.9
HMB,2023-05-02,-124.17438,48.81703,17.1
HMB,2023-05-02,-124.17496,48.81655,60.6
HMB,2023-05-02,-124.17476,48.81747,9.0
