site,date,lon,lat,reading
YOU,2023-05-01,-124.19707,48.87366,13.0
YOU,2023-05-01,-124.19792,48.87205,39.2
YOU,2023-05-01,-124.19756,48.87234,62.9
YOU,2023-05-01,-124.196,48.87153,10.9
YOU,2023-05-01,-124.19712,48.87155,26.0
YOU,2023-05-01,-124.1988,48.87269,9.8
YOU,2023-05-01,-124.19526,48.87248,13.4
YOU,2023-05-01,-124.19535,48.87216,13.6
YOU,2023-05-01,-124.19846,48.87252,25.6
YOU,2023-05-01,-124.19625,48.87259,56.4
YOU,2023-05-01,-124.19696,48.87238,81.4
YOU,2023-05-01,-124.19633,48.87305,43.5
