site,date,lon,lat,reading
HMB,2023-05-02,-124.17565876346885,48.81710383269802,65.8
HMB,2023-05-02,-124.176449805751,48.81691477326681,39.7
HMB,2023-05-02,-124.17534067436893,48.81764926390227,6.4
HMB,2023-05-02,-124.1754452841667,48.81711725988936,64.4
HMB,2023-05-02,-124.17541178006294,48.81672975485719,97.1
HMB,2023-05-02,-124.17555908264738,48.816714769515,105.2
HMB,2023-05-02,-124.17603002910909,48.81680084344836,71.9
HMB,2023-05-02,-124.17514859882532,48.81663171735214,76.4
HMB,2023-05-02,-124.17609769492664,48.81656588062313,64.0
HMB,2023-05-02,-124.17634422832444,48.81693897466944,45.9
HMB,2023-05-02,-124.17573853984888,48.81741307840436,31.9
HMB,2023-05-02,-124.176785895787,48.81664100623483,18.2
HMB,2023-05-02,-124.17524363381882,48.81639879638677,65.0
HMB,2023-05-02,-124.17641390790598,48.81627226290188,27.9
HMB,2023-05-02,-124.1757829397134,48.81673106713963,90.4
HMB,2023-05-02,-124.17588960780796,48.816512013664685,73.2
HMB,2023-05-02,-124.17595493042812,48.81636455632789,58.0
HMB,2023-05-02,-124.17467774399118,48.8172243606008,24.9
HMB,2023-05-02,-124.17610705221104,48.81591920555547,10.7
