site,date,lon,lat,reading
YOU,2023-05-01,-124.19699315110168,48.872495660023446,89.0
YOU,2023-05-01,-124.19706756071128,48.872810780349184,69.7
YOU,2023-05-01,-124.19807613783124,48.87288489003133,36.4
YOU,2023-05-01,-124.19678167789668,48.87271495790391,73.3
YOU,2023-05-01,-124.19725111816054,48.87254254646675,78.7
YOU,2023-05-01,-124.1982892205857,48.87155260746009,4.6
YOU,2023-05-01,-124.19695979525524,48.87249852477922,88.1
YOU,2023-05-01,-124.19737460687992,48.87231001943526,68.8
YOU,2023-05-01,-124.19668823622212,48.872678074428485,72.3
YOU,2023-05-01,-124.19704315838244,48.87256688757893,85.8
YOU,2023-05-01,-124.1973405043652,48.8735773746225,17.2
YOU,2023-05-01,-124.19669885862318,48.87378220856289,4.1
