kind,width,height,depth,num_filled,time
lazy,35,35,2,108,0.0003631114959716797
lazy,35,35,2,130,0.0012187957763671875
lazy,35,35,10,102,0.002379894256591797
lazy,35,35,10,105,0.00021719932556152344
lazy,55,55,2,381,0.0010318756103515625
lazy,55,55,2,286,0.002474069595336914
lazy,55,55,10,307,0.001821756362915039
lazy,55,55,10,175,0.0003731250762939453
list,35,35,2,78,0.0781559944152832
list,35,35,2,70,0.03644299507141113
list,35,35,10,115,0.06648707389831543
list,35,35,10,128,0.054270029067993164
list,55,55,2,68,0.06877803802490234
list,55,55,2,270,0.27205491065979004
list,55,55,10,372,0.3678100109100342
list,55,55,10,415,0.4067509174346924
array,35,35,2,60,0.04976511001586914
array,35,35,2,57,0.04640316963195801
array,35,35,10,113,0.09070825576782227
array,35,35,10,115,0.09191775321960449
array,55,55,2,162,0.329301118850708
array,55,55,2,104,0.2121143341064453
array,55,55,10,265,0.5304131507873535
array,55,55,10,316,0.6293838024139404
