kind,width,height,depth,num_filled,time
list,35,35,2,61,0.04842996597290039
list,35,35,2,111,0.07533526420593262
list,35,35,2,122,0.07938098907470703
list,35,35,2,67,0.04455900192260742
list,35,35,2,102,0.06689691543579102
list,35,35,2,127,0.0819239616394043
list,35,35,2,59,0.0388338565826416
list,35,35,2,27,0.01758289337158203
list,35,35,2,83,0.05426383018493652
list,35,35,2,108,0.07109618186950684
list,35,35,2,49,0.031759023666381836
list,35,35,2,61,0.04027509689331055
list,35,35,2,54,0.0348210334777832
list,35,35,2,144,0.09406208992004395
list,35,35,2,24,0.015318870544433594
list,35,35,2,74,0.049864768981933594
list,35,35,2,104,0.0675048828125
list,35,35,2,55,0.036093950271606445
list,35,35,2,25,0.016583919525146484
list,35,35,2,41,0.02700495719909668
list,35,35,2,93,0.06098604202270508
list,35,35,2,60,0.03914999961853027
list,35,35,2,59,0.039087772369384766
list,35,35,2,112,0.07323479652404785
list,35,35,2,36,0.023718833923339844
list,35,35,2,27,0.0181272029876709
list,35,35,2,48,0.03157615661621094
list,35,35,2,89,0.058190107345581055
list,35,35,2,43,0.027586698532104492
list,35,35,2,37,0.0248870849609375
list,35,35,2,29,0.018643856048583984
list,35,35,2,32,0.02151322364807129
list,35,35,2,57,0.03787517547607422
list,35,35,2,88,0.058203935623168945
list,35,35,2,91,0.05973315238952637
list,35,35,2,49,0.0316619873046875
list,35,35,2,57,0.03804278373718262
list,35,35,2,86,0.056832075119018555
list,35,35,2,33,0.02155280113220215
list,35,35,2,68,0.04462575912475586
list,35,35,2,67,0.04360198974609375
list,35,35,2,69,0.04617905616760254
list,35,35,2,78,0.05156302452087402
list,35,35,2,32,0.020456790924072266
list,35,35,2,181,0.1144568920135498
list,35,35,2,62,0.03961992263793945
list,35,35,2,44,0.02872490882873535
list,35,35,2,169,0.10475993156433105
list,35,35,2,175,0.11060976982116699
list,35,35,2,125,0.08155179023742676
list,35,35,10,114,0.07475113868713379
list,35,35,10,148,0.09584712982177734
list,35,35,10,90,0.05941891670227051
