kind,width,height,depth,seed,time
list,75,75,10,6757828938340735367,1.3148839473724365
array,75,75,10,6757828938340735367,2.3393049240112305
list,75,75,10,7564776570512634437,1.0248358249664307
array,75,75,10,7564776570512634437,2.0727500915527344
list,75,75,10,7404969417978723277,1.0159590244293213
array,75,75,10,7404969417978723277,2.0605649948120117
list,75,75,10,7887259101635520834,1.172652006149292
array,75,75,10,7887259101635520834,2.3814189434051514
list,75,75,10,8594196884767128167,0.586292028427124
array,75,75,10,8594196884767128167,1.1902251243591309
list,75,75,10,2492568693218986580,0.7752640247344971
array,75,75,10,2492568693218986580,1.5724799633026123
list,75,75,10,4023496949820156229,0.4928009510040283
array,75,75,10,4023496949820156229,1.0020411014556885
list,75,75,10,3440906641793638283,0.6336989402770996
array,75,75,10,3440906641793638283,1.2900540828704834
list,75,75,10,8062835143448982612,0.5512158870697021
array,75,75,10,8062835143448982612,1.1225998401641846
list,75,75,10,2408130225617824075,0.5171887874603271
array,75,75,10,2408130225617824075,1.0488779544830322
list,55,55,10,6757828938340735367,0.27150797843933105
array,55,55,10,6757828938340735367,0.5254390239715576
list,55,55,10,7564776570512634437,0.1922130584716797
array,55,55,10,7564776570512634437,0.39039087295532227
list,55,55,10,7404969417978723277,0.25394105911254883
array,55,55,10,7404969417978723277,0.4580502510070801
list,55,55,10,7887259101635520834,0.1306171417236328
array,55,55,10,7887259101635520834,0.26007580757141113
list,55,55,10,8594196884767128167,0.21079182624816895
array,55,55,10,8594196884767128167,0.42565393447875977
list,55,55,10,2492568693218986580,0.2881200313568115
array,55,55,10,2492568693218986580,0.5723221302032471
list,55,55,10,4023496949820156229,0.16577816009521484
array,55,55,10,4023496949820156229,0.3375821113586426
list,55,55,10,3440906641793638283,0.14972996711730957
array,55,55,10,3440906641793638283,0.2977421283721924
list,55,55,10,8062835143448982612,0.1826639175415039
array,55,55,10,8062835143448982612,0.37175703048706055
list,55,55,10,2408130225617824075,0.18080902099609375
array,55,55,10,2408130225617824075,0.3664510250091553
list,95,95,10,6757828938340735367,2.8262369632720947
array,95,95,10,6757828938340735367,5.449700117111206
list,95,95,10,7564776570512634437,1.543720006942749
array,95,95,10,7564776570512634437,3.1893231868743896
list,95,95,10,7404969417978723277,2.0218348503112793
array,95,95,10,7404969417978723277,4.167979955673218
list,95,95,10,7887259101635520834,1.267564058303833
array,95,95,10,7887259101635520834,2.6262640953063965
list,95,95,10,8594196884767128167,0.9416301250457764
array,95,95,10,8594196884767128167,1.8809089660644531
list,95,95,10,2492568693218986580,1.41634202003479
array,95,95,10,2492568693218986580,2.9111220836639404
list,95,95,10,4023496949820156229,0.7857131958007812
array,95,95,10,4023496949820156229,1.6207900047302246
list,95,95,10,3440906641793638283,1.6710669994354248
array,95,95,10,3440906641793638283,3.4512507915496826
list,95,95,10,8062835143448982612,1.8938570022583008
array,95,95,10,8062835143448982612,3.8546299934387207
list,95,95,10,2408130225617824075,2.930182933807373
array,95,95,10,2408130225617824075,6.033440113067627
list,15,15,10,6757828938340735367,0.0023190975189208984
array,15,15,10,6757828938340735367,0.009220123291015625
list,15,15,10,7564776570512634437,0.002084970474243164
array,15,15,10,7564776570512634437,0.004013776779174805
list,15,15,10,7404969417978723277,0.001909017562866211
