kind,width,height,depth,seed,time
list,75,75,10,6757828938340735367,1.2479071617126465
array,75,75,10,6757828938340735367,2.447443962097168
lazy,75,75,10,6757828938340735367,0.0013821125030517578
list,75,75,10,7564776570512634437,0.4869999885559082
array,75,75,10,7564776570512634437,0.9883639812469482
lazy,75,75,10,7564776570512634437,0.0005800724029541016
list,75,75,10,7404969417978723277,2.2716610431671143
array,75,75,10,7404969417978723277,4.630579948425293
lazy,75,75,10,7404969417978723277,0.0038521289825439453
list,75,75,10,7887259101635520834,2.224928855895996
array,75,75,10,7887259101635520834,4.490160942077637
lazy,75,75,10,7887259101635520834,0.0031807422637939453
list,75,75,10,8594196884767128167,0.792917013168335
array,75,75,10,8594196884767128167,1.6106560230255127
lazy,75,75,10,8594196884767128167,0.000904083251953125
list,75,75,10,2492568693218986580,0.814720630645752
array,75,75,10,2492568693218986580,1.65700101852417
lazy,75,75,10,2492568693218986580,0.001007080078125
list,75,75,10,4023496949820156229,0.9879150390625
array,75,75,10,4023496949820156229,2.004642963409424
lazy,75,75,10,4023496949820156229,0.00109100341796875
list,75,75,10,3440906641793638283,0.7611629962921143
array,75,75,10,3440906641793638283,1.5450611114501953
lazy,75,75,10,3440906641793638283,0.0008592605590820312
list,75,75,10,8062835143448982612,1.057654857635498
array,75,75,10,8062835143448982612,2.12239408493042
lazy,75,75,10,8062835143448982612,0.0011739730834960938
list,75,75,10,2408130225617824075,0.9933156967163086
array,75,75,10,2408130225617824075,2.007272243499756
lazy,75,75,10,2408130225617824075,0.001188039779663086
list,75,75,10,5785034832289751076,0.48740291595458984
array,75,75,10,5785034832289751076,0.9883341789245605
lazy,75,75,10,5785034832289751076,0.0005459785461425781
list,75,75,10,5642576052520863625,0.8088116645812988
array,75,75,10,5642576052520863625,1.6424438953399658
lazy,75,75,10,5642576052520863625,0.0010139942169189453
list,75,75,10,1723009292323251641,1.151750087738037
array,75,75,10,1723009292323251641,2.3388187885284424
lazy,75,75,10,1723009292323251641,0.001538991928100586
list,75,75,10,6808218593903956257,0.9565880298614502
array,75,75,10,6808218593903956257,1.9452221393585205
lazy,75,75,10,6808218593903956257,0.0011911392211914062
list,75,75,10,6759529700470799311,1.2710368633270264
array,75,75,10,6759529700470799311,2.5902152061462402
lazy,75,75,10,6759529700470799311,0.0015711784362792969
list,75,75,10,4898004855351610578,0.504486083984375
array,75,75,10,4898004855351610578,1.025217056274414
lazy,75,75,10,4898004855351610578,0.0005581378936767578
list,75,75,10,6782780175303583378,1.2924778461456299
array,75,75,10,6782780175303583378,2.6643950939178467
lazy,75,75,10,6782780175303583378,0.001953125
list,75,75,10,5396154357928470559,1.3733551502227783
array,75,75,10,5396154357928470559,2.7672178745269775
lazy,75,75,10,5396154357928470559,0.001867055892944336
list,75,75,10,1536363813157333146,1.2265379428863525
array,75,75,10,1536363813157333146,2.501101016998291
lazy,75,75,10,1536363813157333146,0.0017228126525878906
list,75,75,10,1897378425860843589,1.184067964553833
array,75,75,10,1897378425860843589,2.400033950805664
lazy,75,75,10,1897378425860843589,0.0016269683837890625
list,95,95,10,6757828938340735367,2.621006727218628
array,95,95,10,6757828938340735367,4.728070259094238
lazy,95,95,10,6757828938340735367,0.0018341541290283203
list,95,95,10,7564776570512634437,4.062525272369385
array,95,95,10,7564776570512634437,8.279364109039307
lazy,95,95,10,7564776570512634437,0.003631114959716797
list,95,95,10,7404969417978723277,2.9590208530426025
array,95,95,10,7404969417978723277,6.018362998962402
lazy,95,95,10,7404969417978723277,0.0026519298553466797
list,95,95,10,7887259101635520834,2.327517032623291
array,95,95,10,7887259101635520834,4.7330920696258545
lazy,95,95,10,7887259101635520834,0.001767873764038086
list,95,95,10,8594196884767128167,1.4480020999908447
array,95,95,10,8594196884767128167,2.94884991645813
lazy,95,95,10,8594196884767128167,0.0011408329010009766
list,95,95,10,2492568693218986580,2.359797954559326
array,95,95,10,2492568693218986580,4.816039085388184
lazy,95,95,10,2492568693218986580,0.0021250247955322266
list,95,95,10,4023496949820156229,1.2186179161071777
array,95,95,10,4023496949820156229,2.4605581760406494
lazy,95,95,10,4023496949820156229,0.0009558200836181641
list,95,95,10,3440906641793638283,0.8602659702301025
array,95,95,10,3440906641793638283,1.7646307945251465
lazy,95,95,10,3440906641793638283,0.0006051063537597656
list,95,95,10,8062835143448982612,4.7093281745910645
array,95,95,10,8062835143448982612,9.547464847564697
lazy,95,95,10,8062835143448982612,0.004444122314453125
list,95,95,10,2408130225617824075,1.9708118438720703
array,95,95,10,2408130225617824075,4.06198787689209
lazy,95,95,10,2408130225617824075,0.0014889240264892578
list,95,95,10,5785034832289751076,2.62786602973938
array,95,95,10,5785034832289751076,5.359648942947388
lazy,95,95,10,5785034832289751076,0.002126932144165039
list,95,95,10,5642576052520863625,3.3915491104125977
array,95,95,10,5642576052520863625,6.921306848526001
lazy,95,95,10,5642576052520863625,0.0029702186584472656
list,95,95,10,1723009292323251641,2.394521951675415
array,95,95,10,1723009292323251641,4.8661839962005615
lazy,95,95,10,1723009292323251641,0.0020449161529541016
list,95,95,10,6808218593903956257,1.8368418216705322
array,95,95,10,6808218593903956257,3.7367191314697266
lazy,95,95,10,6808218593903956257,0.0013930797576904297
list,95,95,10,6759529700470799311,2.1063899993896484
array,95,95,10,6759529700470799311,4.289529800415039
lazy,95,95,10,6759529700470799311,0.0016219615936279297
list,95,95,10,4898004855351610578,2.745203971862793
array,95,95,10,4898004855351610578,5.584320068359375
lazy,95,95,10,4898004855351610578,0.0021538734436035156
list,95,95,10,6782780175303583378,1.6139030456542969
array,95,95,10,6782780175303583378,3.290966033935547
lazy,95,95,10,6782780175303583378,0.0013849735260009766
list,95,95,10,5396154357928470559,3.955410957336426
array,95,95,10,5396154357928470559,8.06716799736023
lazy,95,95,10,5396154357928470559,0.003201723098754883
list,95,95,10,1536363813157333146,2.4664812088012695
array,95,95,10,1536363813157333146,5.0206618309021
lazy,95,95,10,1536363813157333146,0.0019459724426269531
list,95,95,10,1897378425860843589,2.6877341270446777
array,95,95,10,1897378425860843589,5.471781015396118
lazy,95,95,10,1897378425860843589,0.002760171890258789
list,15,15,10,6757828938340735367,0.0030410289764404297
array,15,15,10,6757828938340735367,0.0056650638580322266
lazy,15,15,10,6757828938340735367,0.00027108192443847656
list,15,15,10,7564776570512634437,0.0025789737701416016
array,15,15,10,7564776570512634437,0.005160093307495117
lazy,15,15,10,7564776570512634437,9.226799011230469e-05
list,15,15,10,7404969417978723277,0.001984834671020508
array,15,15,10,7404969417978723277,0.0039000511169433594
lazy,15,15,10,7404969417978723277,6.318092346191406e-05
list,15,15,10,7887259101635520834,0.005099058151245117
array,15,15,10,7887259101635520834,0.010200977325439453
lazy,15,15,10,7887259101635520834,0.0001761913299560547
list,15,15,10,8594196884767128167,0.004304170608520508
array,15,15,10,8594196884767128167,0.003634929656982422
lazy,15,15,10,8594196884767128167,5.602836608886719e-05
list,15,15,10,2492568693218986580,0.002103090286254883
array,15,15,10,2492568693218986580,0.004609107971191406
lazy,15,15,10,2492568693218986580,0.0001747608184814453
list,15,15,10,4023496949820156229,0.005306243896484375
array,15,15,10,4023496949820156229,0.00444483757019043
lazy,15,15,10,4023496949820156229,5.888938903808594e-05
list,15,15,10,3440906641793638283,0.003278017044067383
array,15,15,10,3440906641793638283,0.006344795227050781
lazy,15,15,10,3440906641793638283,9.799003601074219e-05
list,15,15,10,8062835143448982612,0.002218961715698242
array,15,15,10,8062835143448982612,0.0043680667877197266
lazy,15,15,10,8062835143448982612,7.605552673339844e-05
list,15,15,10,2408130225617824075,0.0016818046569824219
array,15,15,10,2408130225617824075,0.0028638839721679688
lazy,15,15,10,2408130225617824075,4.696846008300781e-05
list,15,15,10,5785034832289751076,0.002447843551635742
array,15,15,10,5785034832289751076,0.004806995391845703
lazy,15,15,10,5785034832289751076,7.200241088867188e-05
list,15,15,10,5642576052520863625,0.0026738643646240234
array,15,15,10,5642576052520863625,0.008623123168945312
lazy,15,15,10,5642576052520863625,0.00020885467529296875
list,15,15,10,1723009292323251641,0.0029168128967285156
array,15,15,10,1723009292323251641,0.002855062484741211
lazy,15,15,10,1723009292323251641,4.601478576660156e-05
list,15,15,10,6808218593903956257,0.0021440982818603516
array,15,15,10,6808218593903956257,0.004200935363769531
lazy,15,15,10,6808218593903956257,6.389617919921875e-05
list,15,15,10,6759529700470799311,0.0016400814056396484
array,15,15,10,6759529700470799311,0.003639698028564453
lazy,15,15,10,6759529700470799311,5.2928924560546875e-05
list,15,15,10,4898004855351610578,0.002323150634765625
array,15,15,10,4898004855351610578,0.004506826400756836
lazy,15,15,10,4898004855351610578,7.009506225585938e-05
list,15,15,10,6782780175303583378,0.0014119148254394531
array,15,15,10,6782780175303583378,0.004484891891479492
lazy,15,15,10,6782780175303583378,0.00012493133544921875
list,15,15,10,5396154357928470559,0.0030710697174072266
array,15,15,10,5396154357928470559,0.002058267593383789
lazy,15,15,10,5396154357928470559,3.4809112548828125e-05
list,15,15,10,1536363813157333146,0.0020148754119873047
array,15,15,10,1536363813157333146,0.003923177719116211
lazy,15,15,10,1536363813157333146,6.103515625e-05
list,15,15,10,1897378425860843589,0.0014138221740722656
