kind,width,height,depth,num_filled,time
list,35,35,2,85,0.045172929763793945
list,35,35,2,109,0.06154227256774902
list,35,35,10,119,0.08160805702209473
list,35,35,10,76,0.03955698013305664
list,55,55,2,133,0.13511300086975098
list,55,55,2,144,0.14319896697998047
list,55,55,10,238,0.23531198501586914
list,55,55,10,158,0.15730786323547363
array,35,35,2,58,0.046494245529174805
array,35,35,2,97,0.0771181583404541
array,35,35,10,175,0.13599586486816406
array,35,35,10,91,0.07271981239318848
array,55,55,2,59,0.11880302429199219
array,55,55,2,119,0.2389671802520752
array,55,55,10,277,0.5479519367218018
array,55,55,10,218,0.4358398914337158
